sp,family,term,estimate,std.error,conf.low,conf.high,statistic,p.value,IRR,IRR_low,IRR_high
EPFU,NB2,(Intercept),-3.121263418108879,0.7249102764296601,-4.5420614519339875,-1.7004653842837707,-4.305723783475352,1.664406345483845e-5,0.04410141468103243,0.010651426502134492,0.18259852579169816
EPFU,NB2,YearS,0.6942002182558232,0.08106786694559198,0.5353101187389778,0.8530903177726686,8.563198273389009,1.0977890826235443e-17,2.002107184669481,1.7079778360642073,2.346888287579903
EPFU,NB2,z_eccc_mean_temp,2.0348259118743757,0.20139966901795242,1.6400898141009017,2.42956200964785,10.103422323365361,5.334729055895803e-24,7.6509200751997435,5.1556325399423155,11.353908088598843
EPFU,NB2,z_mtime2h,-0.2427362194604508,0.09953017708607288,-0.43781178192404735,-0.047660656996854234,-2.4388203313507066,0.014735292439648441,0.7844784166218852,0.6454472562658936,0.953457281243848
EPFU,NB2,z_eccc_wind_speed,-0.24785003714495277,0.12374363231215224,-0.49038309979293804,-0.005316974496967525,-2.0029316459673105,0.045184625794074125,0.7804769770582333,0.6123917420901099,0.9946971355931935
LABO,NB1,(Intercept),0.341028052084669,0.6442639295652811,-0.9217060464015318,1.6037621505708697,0.5293297303090966,0.5965767350421303,1.4063926925557049,0.39783972874248524,4.971701574214504
LABO,NB1,YearS,-0.020034668871381105,0.039888587156447324,-0.09821486309220481,0.058145525349442596,-0.5022656930114617,0.6154806382136215,0.9801646915140811,0.9064541192936614,1.0598692223270167
LABO,NB1,z_eccc_mean_rh,-0.020212442766824157,0.06183398581775779,-0.14140482799018989,0.10097994245654157,-0.32688241748471353,0.7437568200311201,0.9799904593061229,0.8681377940719996,1.1062544527941331
LABO,NB1,z_eccc_mean_temp,1.3221667840788367,0.09542109855229519,1.1351448675510911,1.5091887006065823,13.856126204145804,1.1681030298618793e-43,3.7515413570460376,3.1116242836453725,4.5230597497261424
LABO,NB1,z_eccc_precip,0.017042152692139913,0.053348325350765696,-0.08751864363088596,0.1216029490151658,0.3194505653192975,0.7493848721815435,1.017188198642544,0.9162017901636548,1.1293056208423773
LABO,NB1,z_eccc_wind_speed,-0.25308816320455196,0.06660532765991364,-0.3836322065964721,-0.12254411981263177,-3.7998186045539546,1.448020400476825e-4,0.7763994289446015,0.6813819889000488,0.8846668727457762
LABO,NB1,z_mphase,0.018232549185909865,0.05384466580792321,-0.0873010565572149,0.12376615492903462,0.3386138424732679,0.7349006532609985,1.018399776893892,0.9164011655200323,1.1317511856163796
LACI,NB2,(Intercept),-0.12909305117594957,0.7947606870452739,-1.6867953741129953,1.428609271761096,-0.16243009157371133,0.8709671758278037,0.8788921797896495,0.18511178852249535,4.172891796145824
LACI,NB2,YearS,-0.24291006192418244,0.10550760331651884,-0.4497011645196981,-0.036118959328666794,-2.302299116732482,0.02131830960890686,0.7843420528144489,0.6378187260104935,0.9645255473466023
LACI,NB2,z_eccc_mean_temp,1.929524591210372,0.13922924251265323,1.6566402902907789,2.202408892129965,13.858615879742475,1.1282896391966514e-43,6.886235686294071,5.241670736153495,9.046779989463523
LACI,NB2,z_eccc_wind_speed,-0.3743531927349719,0.10023906742058263,-0.5708181547231961,-0.17788823074674773,-3.734603706599369,1.8801100581083982e-4,0.6877339662877187,0.5650629406140729,0.8370359731463468
LANO,NB2,(Intercept),0.25770721376154265,0.5967661983568073,-0.9119330422086855,1.4273474697317707,0.4318394950503868,0.6658580722768925,1.2939599095026384,0.40174687928072517,4.167629753335601
LANO,NB2,YearS,-0.036514893447510036,0.08436357346815529,-0.20186445905219325,0.12883467215717315,-0.43282772346400555,0.6651399310113774,0.9641437343652929,0.817205685269125,1.1375020478592512
LANO,NB2,z_eccc_mean_temp,1.3507483277991092,0.12869676611038164,1.0985073012959863,1.6029893543022322,10.495588728628883,9.051170306330165e-26,3.860313229792585,2.999685054416574,4.967860945991892
LANO,NB2,z_eccc_wind_speed,-0.31421201496578505,0.09262218304628997,-0.4957481579059897,-0.13267587202558037,-3.392405627156841,6.928179346211652e-4,0.7303641636100455,0.6091150225609036,0.8757489008284395
LANO,NB2,z_mphase,0.18621283433945438,0.07524845748460947,0.03872856777742639,0.33369710090148236,2.474639887170317,0.013337057904667781,1.2046786300750112,1.0394882947361288,1.3961201959737328
LANO,NB2,z_eccc_precip,-0.21915443623864417,0.1023970058345103,-0.4198488797990221,-0.018459992678266257,-2.1402426218675994,0.032335164321463924,0.8031976657483937,0.6571461203654897,0.9817093493679361
40KMyo,NB2,(Intercept),0.42956944580244116,1.0938949969400082,-1.7144253510685274,2.5735642426734096,0.39269714826751306,0.6945431771646882,1.536595793334372,0.18006716639255171,13.112477301639554
40KMyo,NB2,YearS,0.22772968068610136,0.06730275817296194,0.09581869860688721,0.3596406627653155,3.3836604452503547,7.152640216039295e-4,1.2557458271975075,1.1005595129321846,1.4328144584591118
40KMyo,NB2,z_eccc_mean_temp,3.1229054521265844,0.17281012002442597,2.7842038407146656,3.4616070635385032,18.071311169074907,5.362402349304223e-73,22.712273294138992,16.186925374263147,31.868149525656374
40KMyo,NB2,z_eccc_wind_speed,-0.3077297650032075,0.10573939451617752,-0.5149751700019874,-0.10048436000442751,-2.910266002668727,0.003611212644430937,0.7351139446844044,0.597515430741004,0.9043992571025355
