sp,best_family,optimizer,formula,n_obs,n_sites,n_years,zero_prop,site_re_sd,theta,AIC,AICc_best,dispersion_p,zero_infl_p,YearS_estimate,YearS_se,YearS_p,YearS_IRR,YearS_IRR_low,YearS_IRR_high
EPFU,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_mean_temp + (1 | site:year),191,3,6,0.5549738219895288,1.5758204956733255,1.2481336034289736,594.294244969614,594.7507667087444,0.452,1,0.32606254422250436,0.27281085725086,0.23201031943222017,1.3855020213096527,0.8116898981595447,2.364962106102023
LABO,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_mean_temp + z_eccc_precip +     z_eccc_wind_speed + (1 | site:year),191,3,6,0.36649214659685864,1.7954702667585487,1.6278833595553854,900.8941349193917,901.6853437106005,0.436,0.844,-0.1260129626331379,0.2973606014681384,0.6717324292847775,0.8816034188076568,0.4922202343116384,1.5790179555301784
LACI,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_mean_temp + z_mphase + z_eccc_precip +     z_eccc_wind_speed + (1 | site:year),191,3,6,0.49214659685863876,0.9617190824964778,7.504604212652202,535.2973669402029,536.2918420783244,0.688,0.68,-0.10877800752082682,0.1691419426618574,0.5201483808865641,0.8969295070041348,0.643849598140593,1.2494883010845819
LANO,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_mean_rh + z_eccc_wind_speed +     z_eccc_mean_temp + (1 | site:year),191,3,6,0.34554973821989526,1.0597559730653345,1.4471180239593373,791.2381802595507,792.0293890507595,0.604,1,-0.03001142407347811,0.18352877163620257,0.8701055984287029,0.9704344471707523,0.6772456597960733,1.39054861796999
40KMyo,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_mean_rh + z_eccc_mean_temp +     z_eccc_precip + (1 | site:year),191,3,6,0.24083769633507854,2.2715531870045114,1.0302878285217167,1692.368368653704,1693.1595774449129,0.364,0.176,-0.35026292485788507,0.3724420086033165,0.3469870085345092,0.7045028340580972,0.33951544214651846,1.4618605859514964
MYEV,NB2,nlminb,n_files ~ YearS + det_unit + z_eccc_precip + z_eccc_mean_temp +     z_eccc_wind_speed + (1 | site:year),191,3,6,0.45549738219895286,1.1151452824901722,2.7079697303077026,585.9082382235106,586.6994470147193,0.936,0.9,0.1482871475563385,0.19266429675582897,0.44149807755063375,1.1598458954653588,0.7950677600506298,1.69198471982083
